"date","country","city","variable","count","min","max","median","variance","sd","completeness_score","30_day_rolling_avg","z_score_all","z_score_city","over_who_limit","avg_time_24h","avg_time_8h","monthly_percent_exceeded","avg_magnitude","magnitude_score"
"2020-12-11","IN","Delhi","pm25",959,75,402,208,28506.8,168.84,1.0,239.47,5.55,1.39,1,15,NULL,100,243,172
"2019-01-04","IN","New Delhi","pm25",24,192,402,274,48212.2,219.57,1.0,326.75,8.09,2.66,1,15,NULL,100,230,165
"2022-01-02","IN","New Delhi","pm25",24,192,401,338,36710.3,191.6,0.32,242.07,5.62,1.44,1,15,NULL,32,307,170
"2020-12-03","IN","Ghāziābād","pm25",39,184,400,268,30731.5,175.3,1.0,271.47,6.48,1.86,1,15,NULL,100,257,179
"2019-01-27","IN","Delhi","pm25",639,75,400,188,19620.4,140.07,1.0,258.19,6.09,1.68,1,15,NULL,100,237,169
"2020-11-13","IN","Ghāziābād","pm25",48,156,400,242,53843,232.04,1.0,267.33,6.36,1.8,1,15,NULL,100,252,176
"2020-11-12","IN","Ghāziābād","pm25",48,129,400,213,48703,220.69,1.0,265.7,6.31,1.77,1,15,NULL,100,252,176
"2022-12-18","IN","New Delhi","pm25",9999,177.75,399.75,280.5,60178.33,245.31,1.0,219.37,4.96,1.11,1,15,NULL,100,230,165
"2023-01-05","IN","New Delhi","pm25",24,190,399,297,49468.1,222.41,1.0,251.22,5.89,1.57,1,15,NULL,100,231,166
"2021-11-08","IN","New Delhi","pm25",24,203,399,292,42474.5,206.09,1.0,188.8,4.07,0.67,1,15,NULL,100,262,181
"2021-01-13","IN","New Delhi","pm25",24,234,399,284,20690,143.84,1.0,235.7,5.44,1.35,1,15,NULL,100,228,164
"2019-01-30","IN","New Delhi","pm25",24,177,399,247,37819.9,194.47,1.0,243.7,5.67,1.46,1,15,NULL,100,230,165
"2022-01-03","IN","New Delhi","pm25",9999,190.71,398.55,335.87,36426.24,190.86,0.32,243.18,5.65,1.46,1,15,NULL,32,307,170
"2022-12-20","BD","Dhaka","pm25",24,194,398,249,35937.7,189.57,1.0,221.67,5.03,1.25,1,15,NULL,100,247,174
"2019-01-19","IN","Ghāziābād","pm25",24,192,398,297,40415.5,201.04,1.0,299.58,7.3,2.27,1,15,NULL,100,243,172
"2023-01-19","IN","New Delhi","pm25",24,184,397,258,39525.6,198.81,1.0,275.62,6.6,1.92,1,15,NULL,100,231,166
"2020-01-12","BD","Dhaka","pm25",23,194,397,233,31897.5,178.6,1.0,212.5,4.76,1.11,1,15,NULL,100,219,160
"2019-01-09","IN","Patna","pm25",48,168,397,228,40586.8,201.46,1.0,302.11,7.37,3.05,1,15,NULL,100,250,175
"2022-12-31","BD","Dhaka","pm25",9999,179.25,396.75,285,43496.8,208.56,1.0,264.13,6.26,1.9,1,15,NULL,100,247,174
"2019-07-19","US","Portland","co",9999,52.6,396.67,344.73,176687.03,420.34,0.71,67.17,12.89,1.52,1,4,NULL,71,295,183
"2022-01-04","IN","New Delhi","pm25",9999,189.41,396.11,333.74,36142.19,190.11,0.32,246.19,5.74,1.5,1,15,NULL,32,307,170
"2019-11-09","IN","Delhi","pm25",693,87,396,201,35629.2,188.76,1.0,238.9,5.53,1.39,1,15,NULL,100,238,169
"2023-01-29","BD","Dhaka","pm25",24,194,396,232,23763.8,154.16,1.0,277.93,6.67,2.11,1,15,NULL,100,264,182
"2019-11-07","IN","New Delhi","pm25",24,187,395,236,31446.1,177.33,1.0,228.33,5.22,1.24,1,15,NULL,100,232,166
"2023-01-12","BD","Dhaka","pm25",24,228,394,303,15947.4,126.28,1.0,288.83,6.98,2.27,1,15,NULL,100,264,182
"2022-12-13","BD","Dhaka","pm25",24,192,394,289,39668.6,199.17,1.0,196.3,4.29,0.86,1,15,NULL,100,247,174
"2023-01-02","IN","New Delhi","pm25",24,267,394,309,16485.2,128.39,1.0,248.08,5.8,1.53,1,15,NULL,100,231,166
"2023-01-04","IN","New Delhi","pm25",24,195,394,262,22799.1,150.99,1.0,250.22,5.86,1.56,1,15,NULL,100,231,166
"2019-01-22","IN","Delhi","pm25",651,13,394,144,14637.3,120.98,1.0,276.55,6.63,1.97,1,15,NULL,100,237,169
"2022-01-05","IN","New Delhi","pm25",9999,188.12,393.66,331.61,35858.13,189.36,0.32,248.77,5.82,1.54,1,15,NULL,32,307,170
"2020-11-28","IN","Delhi","pm25",964,60,393,180,14340.8,119.75,1.0,263.53,6.25,1.76,1,15,NULL,100,244,172
"2019-01-31","IN","Kolkata","pm25",119,157,393,194,31690,178.02,1.0,234.7,5.41,2.38,1,15,NULL,100,220,160
"2021-01-24","IN","New Delhi","pm25",24,247,392,287,12658.7,112.51,1.0,249.07,5.83,1.54,1,15,NULL,100,228,164
"2022-01-06","IN","New Delhi","pm25",9999,186.82,391.21,329.48,35574.07,188.61,0.32,252.07,5.91,1.58,1,15,NULL,32,307,170
"2019-01-18","IN","Hāpur","pm25",32,175,391,305,35734.2,189.03,1.0,288.72,6.98,2.81,1,15,NULL,100,236,168
"2021-11-16","IN","Hāpur","pm25",95,154,391,223,51342.7,226.59,1.0,229.5,5.26,1.78,1,15,NULL,100,238,169
"2020-12-09","IN","New Delhi","pm25",24,169,390,212,37097.4,192.61,1.0,238.3,5.51,1.38,1,15,NULL,100,241,171
