"date","country","city","variable","count","min","max","median","variance","sd","completeness_score","30_day_rolling_avg","z_score_all","z_score_city","over_who_limit","avg_time_24h","avg_time_8h","monthly_percent_exceeded","avg_magnitude","magnitude_score"
"2020-05-05","CN","Harbin","precipitation",9999,"0.18","1.59","0.61","3.26","1.81","0.94","44.74","0.64","2.97",NULL,NULL,NULL,NULL,NULL,NULL
"2020-05-06","CN","Harbin","precipitation",9999,"0.17","1.43","0.57","2.82","1.68","0.94","44.00","0.62","2.91",NULL,NULL,NULL,NULL,NULL,NULL
"2023-03-18","JP","Chiba","precipitation",69,"0.4","1.4","1.3","2.01","1.42","0.77","55.73","0.87","3.24",NULL,NULL,NULL,NULL,NULL,NULL
"2020-05-26","CN","Wuxi","precipitation",40,"0.3","1.4","1","1.46","1.21","0.94","71.07","1.18","4.37",NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-23","KR","Yeosu","precipitation",29,"0.1","1.4","0.9","1.76","1.33","0.84","40.13","0.54","4.81",NULL,NULL,NULL,NULL,NULL,NULL
"2022-11-07","NZ","Auckland","precipitation",9999,"0.1","1.33","0.47","1.84","1.36","0.53","0.39","-0.28","2.55",NULL,NULL,NULL,NULL,NULL,NULL
"2021-04-18","JP","Niigata","precipitation",36,"0.5","1.3","1.1","1.11","1.05","0.40","42.39","0.59","2.77",NULL,NULL,NULL,NULL,NULL,NULL
"2021-04-19","JP","Niigata","precipitation",9999,"0.49","1.3","1.05","1.15","1.07","0.40","39.26","0.53","2.52",NULL,NULL,NULL,NULL,NULL,NULL
"2023-02-24","JP","Wakayama","precipitation",24,"0.2","1.3","1.2","2.57","1.60","0.21","35.44","0.45","2.63",NULL,NULL,NULL,NULL,NULL,NULL
"2022-11-05","CL","Temuco","precipitation",9999,"0.59","1.28","0.88","0.64","0.80","0.17","0.30","-0.28","2.67",NULL,NULL,NULL,NULL,NULL,NULL
"2020-05-07","CN","Harbin","precipitation",9999,"0.16","1.28","0.52","2.38","1.54","0.94","43.29","0.61","2.86",NULL,NULL,NULL,NULL,NULL,NULL
"2020-05-27","CN","Wuxi","precipitation",9999,"0.23","1.27","0.77","1.49","1.22","0.94","69.20","1.15","4.23",NULL,NULL,NULL,NULL,NULL,NULL
"2019-03-09","CN","Fuzhou","precipitation",20,"0.1","1.2","0.5","1.71","1.31","0.55","52.82","0.81","2.67",NULL,NULL,NULL,NULL,NULL,NULL
"2021-01-25","JP","Nagoya","precipitation",9999,"0.83","1.2","1.03","0.27","0.52","0.71","42.23","0.59","2.68",NULL,NULL,NULL,NULL,NULL,NULL
"2020-05-28","CN","Wuxi","precipitation",9999,"0.17","1.13","0.53","1.52","1.23","0.94","67.07","1.10","4.08",NULL,NULL,NULL,NULL,NULL,NULL
"2020-05-08","CN","Harbin","precipitation",9999,"0.14","1.12","0.48","1.95","1.40","0.94","39.73","0.54","2.59",NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-17","KR","Changwon","precipitation",86,"0.1","1.1","0.8","0.42","0.65","0.83","30.10","0.34","4.04",NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-26","KR","Incheon","precipitation",56,"0.4","1","0.5","0.11","0.33","1.00","20.95","0.15","3.09",NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-26","KR","Seoul","precipitation",77,"0.4","1","0.5","0.66","0.81","1.00","15.16","0.03","2.97",NULL,NULL,NULL,NULL,NULL,NULL
"2020-05-29","CN","Wuxi","precipitation",24,"0.1","1","0.3","1.55","1.24","0.94","64.69","1.05","3.91",NULL,NULL,NULL,NULL,NULL,NULL
"2023-01-14","JP","Nara-shi","precipitation",32,"0.3","1","0.5","0.69","0.83","0.29","48.64","0.72","4.05",NULL,NULL,NULL,NULL,NULL,NULL
"2023-01-15","JP","Nara-shi","precipitation",9999,"0.29","0.98","0.49","0.67","0.82","0.29","49.01","0.73","4.08",NULL,NULL,NULL,NULL,NULL,NULL
"2023-01-16","JP","Nara-shi","precipitation",9999,"0.29","0.96","0.48","0.65","0.81","0.29","50.67","0.76","4.24",NULL,NULL,NULL,NULL,NULL,NULL
"2023-01-17","JP","Nara-shi","precipitation",9999,"0.28","0.93","0.47","0.63","0.79","0.29","51.57","0.78","4.33",NULL,NULL,NULL,NULL,NULL,NULL
"2023-01-18","JP","Nara-shi","precipitation",9999,"0.27","0.91","0.46","0.61","0.78","0.29","51.63","0.78","4.33",NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-29","KR","Jeonju","precipitation",110,"0.1","0.9","0.3","0.21","0.46","1.00","17.45","0.08","2.57",NULL,NULL,NULL,NULL,NULL,NULL
"2023-01-19","JP","Nara-shi","precipitation",9999,"0.26","0.89","0.44","0.59","0.77","0.29","50.75","0.76","4.25",NULL,NULL,NULL,NULL,NULL,NULL
"2023-01-20","JP","Nara-shi","precipitation",9999,"0.26","0.87","0.43","0.57","0.75","0.29","48.81","0.72","4.07",NULL,NULL,NULL,NULL,NULL,NULL
"2023-01-21","JP","Nara-shi","precipitation",9999,"0.25","0.84","0.42","0.55","0.74","0.29","45.69","0.66","3.77",NULL,NULL,NULL,NULL,NULL,NULL
"2023-01-22","JP","Nara-shi","precipitation",9999,"0.24","0.82","0.41","0.53","0.73","0.29","41.23","0.57","3.35",NULL,NULL,NULL,NULL,NULL,NULL
"2022-04-24","JP","Nara-shi","precipitation",24,"0.3","0.8","0.5","0.44","0.66","0.80","32.74","0.39","2.55",NULL,NULL,NULL,NULL,NULL,NULL
"2022-09-16","KR","Ulsan","precipitation",33,"0.1","0.7","0.6","0.26","0.51","0.90","22.16","0.17","3.23",NULL,NULL,NULL,NULL,NULL,NULL
"2021-01-24","JP","Nagoya","precipitation",39,"0.3","0.6","0.4","0.16","0.40","0.71","43.13","0.61","2.75",NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-10","CN","Shijiazhuang","precipitation",28,"0.1","0.5","0.2","0.11","0.33","0.84","45.01","0.65","3.58",NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-25","KR","Suwon","precipitation",63,"0.2","0.5","0.4","0.03","0.17","1.00","18.20","0.09","2.54",NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-11","KR","Yeosu","precipitation",61,"0.1","0.3","0.2","0.01","0.10","0.97","32.41","0.38","3.69",NULL,NULL,NULL,NULL,NULL,NULL
"2020-11-26","RO","Piteşti","precipitation",9999,"0","0","0","0","0.00","0.43","52.59","0.80","2.69",NULL,NULL,NULL,NULL,NULL,NULL
